year,name,fraction,sex,rank
2009,Lexi,0.00062,f,259
2009,Skyler,0.000629,m,260
2009,Kelly,0.000618,f,260
2009,Simon,0.000629,m,261
2009,Sasha,0.000618,f,261
2009,Graham,0.000626,m,262
2009,Esther,0.000617,f,262
2009,Caiden,0.000626,m,263
2009,Kyla,0.000616,f,263
2009,Axel,0.000622,m,264
2009,Caylee,0.000616,f,264
2009,Myles,0.000615,m,265
2009,Leilani,0.000614,f,265
2009,Emanuel,0.000608,m,266
2009,Cecilia,0.000609,f,266
2009,Kyler,0.000606,m,267
2009,Caitlin,0.000601,f,267
2009,Weston,0.000604,m,268
2009,Ashlynn,0.0006,f,268
2009,Pedro,0.000602,m,269
2009,Mallory,0.000598,f,269
2009,Emiliano,0.000601,m,270
2009,Presley,0.000596,f,270
2009,Aaden,0.000598,m,271
2009,Heaven,0.000596,f,271
2009,Drew,0.000596,m,272
2009,Kyra,0.000593,f,272
2009,Clayton,0.000595,m,273
2009,Alejandra,0.000592,f,273
2009,Charlie,0.000592,m,274
2009,Fatima,0.000592,f,274
2009,Kameron,0.000592,m,275
2009,Teagan,0.00059,f,275
2009,Theodore,0.000584,m,276
2009,Dakota,0.00059,f,276
2009,Devon,0.000582,m,277
2009,Alayna,0.000586,f,277
2009,Corbin,0.000577,m,278
2009,Eliza,0.000584,f,278
2009,Amir,0.000573,m,279
2009,Veronica,0.000579,f,279
2009,Marcos,0.000572,m,280
2009,Tiffany,0.000577,f,280
2009,Luca,0.000565,m,281
2009,Maddison,0.000575,f,281
2009,Ruben,0.000565,m,282
2009,Jasmin,0.000575,f,282
2009,Fabian,0.000553,m,283
2009,Crystal,0.000573,f,283
2009,Colby,0.000543,m,284
2009,Kiara,0.000572,f,284
2009,Dawson,0.000543,m,285
2009,Macy,0.000572,f,285
2009,Angelo,0.000542,m,286
2009,Aubree,0.000571,f,286
2009,Zander,0.000541,m,287
2009,Camille,0.00057,f,287
2009,Anderson,0.000539,m,288
2009,Genevieve,0.000569,f,288
2009,Grady,0.000538,m,289
2009,Nina,0.000568,f,289
2009,Dante,0.000537,m,290
2009,Madilyn,0.000565,f,290
2009,Frank,0.000537,m,291
2009,Kamryn,0.000559,f,291
2009,Dillon,0.000533,m,292
2009,Angelica,0.000556,f,292
2009,Adan,0.000531,m,293
2009,Hazel,0.000556,f,293
2009,Corey,0.00053,m,294
2009,Karina,0.000553,f,294
2009,Joaquin,0.000527,m,295
2009,Heidi,0.000552,f,295
2009,Derrick,0.000526,m,296
2009,Kira,0.000552,f,296
2009,Elliot,0.000524,m,297
2009,Maliyah,0.000552,f,297
2009,Taylor,0.000516,m,298
2009,Karla,0.000551,f,298
2009,Amari,0.000513,m,299
2009,Esmeralda,0.000549,f,299
2009,Brock,0.000512,m,300
2009,Guadalupe,0.000549,f,300
2009,Armando,0.000511,m,301
2009,Joanna,0.000546,f,301
2009,Trent,0.000507,m,302
2009,Carmen,0.000546,f,302
2009,Dean,0.0005,m,303
2009,Cora,0.000542,f,303
2009,Tristen,0.0005,m,304
2009,Aniya,0.000536,f,304
2009,Julio,0.0005,m,305
2009,Lucia,0.000536,f,305
2009,Lane,0.000496,m,306
2009,Miriam,0.000531,f,306
2009,Enrique,0.000495,m,307
2009,Jamie,0.000526,f,307
2009,Bennett,0.000494,m,308
2009,Daniella,0.000524,f,308
2009,Declan,0.000493,m,309
2009,Courtney,0.000524,f,309
2009,Allen,0.000489,m,310
2009,Josie,0.000522,f,310
2009,Braydon,0.000487,m,311
2009,Kyleigh,0.000521,f,311
2009,Emilio,0.000484,m,312
2009,Fiona,0.000519,f,312
